constituency,ac_number,candidate,party,votes,turnout,reserved,region,margin
Erode (East),98,"THIRUMAHAN EVERAA,E.",INC,67300,66.24,GEN,Kongu,8904
Erode (West),99,Muthusamy S,DMK,100757,69.36,GEN,Kongu,22089
Modakurichi,100,SARASWATHI.C,BJP,78125,75.26,GEN,Kongu,281
Dharapuram,101,KAYALVIZHI N,DMK,89986,74.15,SC,Kongu,1393
Kangayam,102,SAMINATHAN.M.P,DMK,94197,77.19,GEN,Kongu,7331
Perundurai,103,"JAYAKUMAR, S.",AIADMK,85125,82.6,GEN,Kongu,14507
Bhavani,104,KARUPPANAN.K.C,AIADMK,100915,83.5,GEN,Kongu,22523
Anthiyur,105,VENKATACHALAM.A.G,DMK,79096,79.69,GEN,Kongu,1275
Gobichettipalayam,106,SENGOTTAIYAN K.A,AIADMK,108608,82.52,GEN,Kongu,28563
Bhavanisagar,107,A.Bannari,AIADMK,99181,77.37,SC,Kongu,16008
Udhagamandalam,108,"GANESH, R.",INC,65530,67.82,GEN,Kongu,5348
Gudalur,109,PON.JAYASEELAN,AIADMK,64496,72.15,SC,Kongu,1945
Coonoor,110,"Ramachandran, K.",DMK,61820,69.79,GEN,Kongu,4105
Mettupalayam,111,SELVARAJ A K,AIADMK,105231,75.14,GEN,Kongu,2456
Avanashi,112,"DHANAPAL, P",AIADMK,117284,75.18,SC,Kongu,50902
Tiruppur (North),113,VIJEYAKUMAR.K.N,AIADMK,113384,62.44,GEN,Kongu,40102
Tiruppur (South),114,SELVARAJ. K.,DMK,75535,62.74,GEN,Kongu,4709
Palladam,115,ANANDAN M S M,AIADMK,126903,66.7,GEN,Kongu,32691
Sulur,116,KANDASAMY V.P.,AIADMK,118968,75.57,GEN,Kongu,31932
Kavundampalayam,117,G.Arunkumar,AIADMK,135669,66.13,GEN,Kongu,9776
Coimbatore North,118,AMMAN K.ARJUNAN,AIADMK,81454,59.21,GEN,Kongu,4001
Thondamuthur,119,S.P. VELUMANI,AIADMK,124225,70.22,GEN,Kongu,41630
Coimbatore South,120,VANATHI SRINIVASAN,BJP,53209,60.69,GEN,Kongu,1728
Singanallur,121,"Jayaram, K.R",AIADMK,81244,61.73,GEN,Kongu,10854
Kinathukadavu,122,Damodaran.S,AIADMK,101537,70.64,GEN,Kongu,1095
Pollachi,123,Pollachi V. Jayaraman,AIADMK,80567,77.34,GEN,Kongu,1725
Valparai,124,AMULKANDASAMI T K,AIADMK,71672,70.04,SC,Kongu,12223
Udumalpet,125,"Radhakrishnan,K.",AIADMK,96893,71.31,GEN,Kongu,21895
Madathukulam,126,C MAHENDRAN,AIADMK,84313,72.45,GEN,Kongu,6438
Palani,127,SENTHIL KUMAR I.P,DMK,108566,73.33,GEN,South,30056
Oddanchatram,128,SAKKARAPANI R,DMK,109970,83.08,GEN,South,28742
Athoor,129,PERIYASAMY I,DMK,165809,77.96,GEN,South,135571
Nilakottai,130,S.Thenmozhi,AIADMK,91461,75.07,SC,South,27618
Natham,131,NATHAM.R.VISWANATHAN,AIADMK,107762,78.95,GEN,South,11932
Dindigul,132,SREENIVASAN.C,AIADMK,90595,69.27,GEN,South,17747
Vedasandur,133,GANDHIRAJAN S,DMK,106481,80.16,GEN,South,17553
Aravakurichi,134,ELANGO. R,DMK,93369,81.92,GEN,Kongu,24816
Karur,135,SENTHILBALAJI V,DMK,101757,83.57,GEN,Kongu,12448
Krishnarayapuram,136,SIVAGAMA SUNDARI.K,DMK,96540,84.17,SC,Kongu,31625
Kulithalai,137,R.Manickam,DMK,100829,86.16,GEN,Kongu,23540
Manapparai,138,ABDUL SAMAD P,DMK,98077,76.02,GEN,Delta,12243
Srirangam,139,Palaniyandi.M,DMK,113904,76.15,GEN,Delta,19915
Tiruchirapalli (West),140,"Nehru, K.N.",DMK,118133,67.01,GEN,Delta,85109
Tiruchirapalli (East),141,"INIGO IRUDAYARAJ,S.",DMK,94302,66.87,GEN,Delta,53797
Thiruverambur,142,ANBIL MAHESH POYYAMOZHI,DMK,105424,66.59,GEN,Delta,49697
Lalgudi,143,A.SOUNDARAPANDIAN,DMK,84914,79.23,GEN,Delta,16949
Manachanallur,144,S. KATHIRAVAN,DMK,116334,79.63,GEN,Delta,59618
Musiri,145,N. Thiyagarajan,DMK,90624,75.98,GEN,Delta,26836
Thuraiyur,146,S.STALINKUMAR,DMK,87786,76.63,SC,Delta,22071
Perambalur,147,"PRABHAHARAN, M.",DMK,122090,78.2,SC,Central,31034
Kunnam,148,"SIVASANKAR, S.S.",DMK,103922,80.05,GEN,Central,6329
Ariyalur,149,CHINNAPPA K,DMK,103975,84.54,GEN,Central,3234
Jayankondam,150,KANNAN KA SO KA,DMK,99529,80.38,GEN,Central,5452
Tittakudi,151,"GANESAN,  C.V.",DMK,83726,76.3,SC,Central,21563
Vriddhachalam,152,Radhakrishnan,INC,77064,77.02,GEN,Central,862
Neyveli,153,SABA.RAJENDRAN,DMK,75177,74.25,GEN,Central,977
Panruti,154,VELMURUGAN.T,DMK,93801,79.6,GEN,Central,4697
Cuddalore,155,G.IYAPPAN,DMK,84563,74.77,GEN,Central,5151
Kurinjipadi,156,M.R.K.PANNEERSELVAM,DMK,101456,82.06,GEN,Central,17527
Bhuvanagiri,157,Arunmozhithevan. A,AIADMK,96453,78.57,GEN,Central,8259
Chidambaram,158,K.A. PANDIAN,AIADMK,91961,71.93,GEN,Central,16937
Kattumannarkoil,159,SINTHANAI SELVAN,VCK,86056,75.87,SC,Central,10565
Sirkali,160,PANNEERSELVAM,DMK,94057,74.91,SC,Delta,12148
Mayiladuthurai,161,Rajakumar.S,INC,73642,70.14,GEN,Delta,2742
Poompuhar,162,Nivedha M. Murugan,DMK,96102,75.19,GEN,Delta,3299
Nagapattinam,163,J. Mohamed Shanavas,VCK,66281,71.97,GEN,Delta,7238
Kilvelur,164,NAGAIMAALI V P,CPI(M),67988,79.43,SC,Delta,16985
Vedaranyam,165,O.S.MANIAN,AIADMK,78719,80.6,GEN,Delta,12329
Thiruthuraipundi,166,MARIMUTHU K,CPI,97092,76.74,SC,Delta,30068
Mannargudi,167,RAJAA T R B,DMK,87172,74.34,GEN,Delta,37393
Thiruvarur,168,KALAIVANAN  POONDI  K.,DMK,108906,73.25,GEN,Delta,51174
Nannilam,169,KAMARAJ R,AIADMK,103637,81.08,GEN,Delta,4424
Thiruvidamarudur,170,"CHEZHIAAN,  GOVI.",DMK,95763,75.76,SC,Delta,10680
Kumbakonam,171,"ANBALAGAN, G.",DMK,96057,71.45,GEN,Delta,21383
Papanasam,172,"Dr.JAWAHIRULLAH, M.H.",DMK,86567,74.76,GEN,Delta,16273
Thiruvaiyaru,173,DURAI.CHANDRASEKARAN,DMK,103210,78.11,GEN,Delta,53650
Thanjavur,174,"NEELAMEGAM, T.K.G.",DMK,103772,65.72,GEN,Delta,47149
Orathanad,175,"VAITHILINGAM, R.",AIADMK,90063,78.29,GEN,Delta,28835
Pattukkottai,176,"ANNADURAI, K.",DMK,79065,71.66,GEN,Delta,25269
Peravurani,177,"ASHOKKUMAR, N.",DMK,89130,77.02,GEN,Delta,23503
Gandharvakottai,178,M.Chinnadurai,CPI(M),69710,74.45,SC,Delta,12721
Viralimalai,179,VIJAYA BASKER C,AIADMK,102179,85.43,GEN,Delta,23598
Pudukkottai,180,V . MUTHURAJA,DMK,85802,72.94,GEN,Delta,13001
Thirumayam,181,S.REGUPATHY,DMK,71349,75.85,GEN,Delta,1382
Alangudi,182,SIVA.V.MEYYANATHAN,DMK,87935,78.47,GEN,Delta,25847
Arantangi,183,RAMACHANDRAN T,INC,81835,70.21,GEN,Delta,30893
Karaikudi,184,S.Mangudi,INC,75954,66.23,GEN,South,21589
Tiruppattur,185,KR.PERIYAKARUPPAN,DMK,103682,71.98,GEN,South,37374
Sivaganga,186,PR. Senthilnathan,AIADMK,82153,66.29,GEN,South,11253
Manamadurai,187,Tamilarasi A.,DMK,89364,72.05,SC,South,14091
Melur,188,PERIYAPULLAN @ SELVAM  P.,AIADMK,83344,74.23,GEN,South,35162
Madurai East,189,MOORTHY P,DMK,122729,71.34,GEN,South,49604
Sholavandan,190,VENKATESAN A,DMK,84240,79.49,SC,South,17045
Madurai North,191,THALAPATHI G,DMK,73010,63.6,GEN,South,22916
Madurai South,192,BOOMINATHAN.M,DMK,62812,63.8,GEN,South,6515
Madurai Central,193,PALANIVEL THIAGA RAJAN,DMK,73205,61.03,GEN,South,34176
Madurai West,194,RAJU. K,AIADMK,83883,65.12,GEN,South,9121
Thiruparankundram,195,"RAJANCHELLAPPA, V.V.",AIADMK,103683,72.73,GEN,South,29489
Thirumangalam,196,UDHAYAKUMAR R B,AIADMK,100338,78.13,GEN,South,14087
Usilampatti,197,AYYAPPAN P,AIADMK,71255,73.82,GEN,South,7477
Andipatti,198,A.MAHARAJAN,DMK,93541,74.85,GEN,South,8538
Periyakulam,199,K.S.SARAVANAKUMAAR,DMK,92251,69.94,SC,South,21321
Bodinayakanur,200,O.PANNEERSELVAM,AIADMK,100050,76.3,GEN,South,11021
Cumbum,201,N.Ramakrishnan,DMK,104800,69.51,GEN,South,42413
Rajapalayam,202,THANGAPANDIAN S.,DMK,74158,73.89,GEN,South,3898
Srivilliputhur,203,"MANRAJ, E.M.",AIADMK,70475,73.14,SC,South,12738
Sattur,204,"RAGHURAMAN,  A.R.R.",DMK,74174,75.17,GEN,South,11179
Sivakasi,205,Ashokan.G,INC,78947,70.16,GEN,South,17319
Virudhunagar,206,SEENIVASAN A.R.R,DMK,73297,71.27,GEN,South,21339
Aruppukottai,207,K.K.S.S.R.RAMACHANDRAN,DMK,91040,75.6,GEN,South,39034
Tiruchuli,208,THANGAM THENARASU,DMK,102225,77.46,GEN,South,60992
Paramakudi,209,MURUGESAN S,DMK,84864,70.59,SC,South,13285
Tiruvadanai,210,KARUMANICKAM,INC,79364,68.72,GEN,South,13852
Ramanathapuram,211,KATHARBATCHA MUTHURAMALINGAM,DMK,111082,68.81,GEN,South,50479
Mudukulathur,212,R.S.RAJAKANNAPPAN,DMK,101901,70.29,GEN,South,20721
Vilathikulam,213,MARKANDAYAN V,DMK,90348,76.52,GEN,South,38549
Thoothukkudi,214,P.Geetha Jeevan,DMK,92314,65.07,GEN,South,50310
Tiruchendur,215,Anitha R. Radhakrishnan,DMK,88274,70.04,GEN,South,25263
Srivaikuntam,216,Amirtharaj .S,INC,76843,72.34,GEN,South,17372
Ottapidaram,217,SHUNMUGAIAH C,DMK,73110,69.82,SC,South,8510
Kovilpatti,218,KADAMBUR RAJU,AIADMK,68556,67.43,GEN,South,12403
Sankarankovil,219,RAJA E,DMK,71347,71.48,SC,South,5297
Vasudevanallur,220,"SADHAN THIRUMALAIKUMAR, DOCTOR.T",DMK,68730,71.87,SC,South,2367
Kadayanallur,221,C.KRISHNAMURALI,AIADMK,88474,70.35,GEN,South,24349
Tenkasi,222,PALANI NADAR.S,INC,89315,72.4,GEN,South,370
Alangulam,223,PAUL MANOJ PANDIAN,AIADMK,74153,77.4,GEN,South,3539
Tirunelveli,224,Nainar Nagenthran,BJP,92282,66.91,GEN,South,23107
Ambasamudram,225,E.SUBAYA,AIADMK,85211,72.03,GEN,South,16915
Palayamcottai,226,ABDUL WAHAB .M,DMK,89117,57.76,GEN,South,52141
Nanguneri,227,RUBY R MANOHARAN,INC,75902,68.59,GEN,South,16486
Radhapuram,228,M.Appavu,DMK,82331,68.08,GEN,South,5925
Kanniyakumari,229,THALAVAI SUNDARAM N.,AIADMK,109745,75.19,GEN,South,16213
Nagercoil,230,Gandhi M.R.,BJP,88804,67.06,GEN,South,11669
Colachel,231,Prince J.G.,INC,90681,67.27,GEN,South,24832
Padmanabhapuram,232,"Mano Thangaraj, T.",DMK,87744,70.08,GEN,South,26885
Vilavancode,233,VIJAYADHARANI S,INC,87473,66.83,GEN,South,28669
Killiyoor,234,RAJESH KUMAR  S,INC,101541,65.87,GEN,South,55400
